Date,Location,New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases,Province,Island,Special Status,Total Cities,Total Districts,Total Urban Villages,Total Rural Villages,Area (km2),Population,Population Density,New Cases per Million,Total Cases per Million,New Deaths per Million,Total Deaths per Million,Case Fatality Rate,Case Recovered Rate,Growth Factor of New Cases,Growth Factor of New Deaths
3/13/2020,Sulawesi Tenggara,0,0,0,0,1,0,0,1,Sulawesi Tenggara,Sulawesi,,2,219,377,1911,38068,2635461,69.23,0,0.38,0,0,0,0,1,1
3/14/2020,Bali,0,0,0,0,1,1,3,-3,Bali,Nusa Tenggara,,1,57,80,636,5780,4216171,729.43,0,0.24,0,0.24,1,3,1,1
3/14/2020,Banten,1,0,2,-1,4,7,97,-100,Banten,Jawa,,4,155,313,1238,9663,10722374,1109.64,0.09,0.37,0,0.65,1.75,24.25,1,0
3/14/2020,DKI Jakarta,2,1,1,0,53,27,49,-23,DKI Jakarta,Jawa,Daerah Khusus Ibu Kota,5,44,267,,664,10846145,16334.31,0.18,4.89,0.09,2.49,0.5094,0.9245,0.5,1
3/14/2020,Indonesia,27,1,6,20,96,5,8,83,,,,98,7230,8488,74953,1916907,265185520,138.34,0.1,0.36,0,0.02,0.0521,0.0833,0.77,0.33
3/14/2020,Jawa Barat,0,0,0,0,9,2,9,-2,Jawa Barat,Jawa,,9,627,645,5312,35378,45161325,1276.55,0,0.2,0,0.04,0.2222,1,0,1
3/14/2020,Jawa Tengah,2,0,1,1,5,9,10,-14,Jawa Tengah,Jawa,,6,576,753,7809,32801,36364072,1108.64,0.05,0.14,0,0.25,1.8,2,,1
3/14/2020,Kalimantan Timur,3,0,0,3,3,0,2,1,Kalimantan Timur,Kalimantan,,3,103,197,841,129067,3552191,27.52,0.84,0.84,0,0,0,0.6667,,
3/14/2020,Riau,0,0,0,0,2,0,3,-1,Riau,Sumatera,,2,169,268,1591,87024,6074100,69.8,0,0.33,0,0,0,1.5,1,1
3/14/2020,Sulawesi Tenggara,0,0,0,0,1,0,0,1,Sulawesi Tenggara,Sulawesi,,2,219,377,1911,38068,2635461,69.23,0,0.38,0,0,0,0,1,1
3/15/2020,Bali,0,0,0,0,1,1,3,-3,Bali,Nusa Tenggara,,1,57,80,636,5780,4216171,729.43,0,0.24,0,0.24,1,3,1,1
3/15/2020,Banten,1,0,5,-4,5,7,102,-104,Banten,Jawa,,4,155,313,1238,9663,10722374,1109.64,0.09,0.47,0,0.65,1.4,20.4,1,1
3/15/2020,DKI Jakarta,8,3,0,5,61,30,49,-18,DKI Jakarta,Jawa,Daerah Khusus Ibu Kota,5,44,267,,664,10846145,16334.31,0.74,5.62,0.28,2.77,0.4918,0.8033,4,3
3/15/2020,Indonesia,21,0,0,21,117,5,8,104,,,,98,7230,8488,74953,1916907,265185520,138.34,0.08,0.44,0,0.02,0.0427,0.0684,0.78,0
3/15/2020,Jawa Barat,0,0,2,-2,9,2,11,-4,Jawa Barat,Jawa,,9,627,645,5312,35378,45161325,1276.55,0,0.2,0,0.04,0.2222,1.2222,1,1
3/15/2020,Jawa Tengah,1,0,1,0,6,9,11,-14,Jawa Tengah,Jawa,,6,576,753,7809,32801,36364072,1108.64,0.03,0.16,0,0.25,1.5,1.8333,0.5,1
3/15/2020,Kalimantan Timur,2,0,0,2,5,0,2,3,Kalimantan Timur,Kalimantan,,3,103,197,841,129067,3552191,27.52,0.56,1.41,0,0,0,0.4,0.67,1
3/15/2020,Riau,0,0,0,0,2,0,3,-1,Riau,Sumatera,,2,169,268,1591,87024,6074100,69.8,0,0.33,0,0,0,1.5,1,1
3/15/2020,Sulawesi Tenggara,0,0,0,0,1,0,0,1,Sulawesi Tenggara,Sulawesi,,2,219,377,1911,38068,2635461,69.23,0,0.38,0,0,0,0,1,1
3/16/2020,Bali,0,0,0,0,1,1,3,-3,Bali,Nusa Tenggara,,1,57,80,636,5780,4216171,729.43,0,0.24,0,0.24,1,3,1,1
3/16/2020,Banten,1,0,4,-3,6,7,106,-107,Banten,Jawa,,4,155,313,1238,9663,10722374,1109.64,0.09,0.56,0,0.65,1.1667,17.6667,1,1
3/16/2020,DKI Jakarta,2,3,0,-1,63,33,49,-19,DKI Jakarta,Jawa,Daerah Khusus Ibu Kota,5,44,267,,664,10846145,16334.31,0.18,5.81,0.28,3.04,0.5238,0.7778,0.25,1
3/16/2020,Daerah Istimewa Yogyakarta,1,0,0,1,1,0,1,0,Daerah Istimewa Yogyakarta,Jawa,Daerah Istimewa,1,78,46,392,3133,3631015,1158.9,0.28,0.28,0,0,0,1,,
3/16/2020,Indonesia,17,0,0,17,134,5,8,121,,,,98,7230,8488,74953,1916907,265185520,138.34,0.06,0.51,0,0.02,0.0373,0.0597,0.81,1
3/16/2020,Jawa Barat,0,0,2,-2,9,2,13,-6,Jawa Barat,Jawa,,9,627,645,5312,35378,45161325,1276.55,0,0.2,0,0.04,0.2222,1.4444,1,1
3/16/2020,Jawa Tengah,1,0,0,1,7,9,11,-13,Jawa Tengah,Jawa,,6,576,753,7809,32801,36364072,1108.64,0.03,0.19,0,0.25,1.2857,1.5714,1,1
