,Date,Location,New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases,Increasing,New Cases EMA,New Cases Difference,New Deaths EMA,New Deaths Difference,New Recovered EMA,New Recovered Difference,New Cases Upper,New Cases Lower,New Deaths Upper,New Deaths Lower,New Recovered Upper,New Recovered Lower
73,2020-05-14,Indonesia,568.0,15.0,231.0,322,16006,1043,3518,11445,0,446.5939806389491,121.40601936105088,18.130450275330986,-3.130450275330986,153.5498609257388,77.45013907426119,13446.593980638949,-12553.406019361051,398.130450275331,-361.869549724669,9453.54986092574,-9146.45013907426
74,2020-05-15,Indonesia,490.0,33.0,285.0,172,16496,1076,3803,11617,0,470.8751845111593,19.12481548884068,17.50436022026479,15.49563977973521,169.03988874059104,115.96011125940896,13470.87518451116,-12529.12481548884,397.5043602202648,-362.4956397797352,9469.039888740592,-9130.960111259408
75,2020-05-16,Indonesia,529.0,13.0,108.0,408,17025,1089,3911,12025,1,474.70014760892747,54.299852391072534,20.603488176211833,-7.603488176211833,192.23191099247285,-84.23191099247285,13474.700147608928,-12525.299852391072,400.60348817621184,-359.39651182378816,9492.231910992472,-9107.768089007528
76,2020-05-17,Indonesia,489.0,59.0,218.0,212,17514,1148,4129,12237,0,485.56011808714203,3.4398819128579703,19.08279054096947,39.91720945903053,175.3855287939783,42.614471206021705,13485.560118087142,-12514.439881912858,399.0827905409695,-360.9172094590305,9475.385528793979,-9124.614471206021
77,2020-05-18,Indonesia,496.0,43.0,195.0,258,18010,1191,4324,12495,1,486.24809446971364,9.751905530286365,27.06623243277558,15.933767567224422,183.90842303518264,11.091576964817364,13486.248094469714,-12513.751905530286,407.06623243277556,-352.93376756722444,9483.908423035182,-9116.091576964818
78,2020-05-19,Indonesia,486.0,30.0,143.0,313,18496,1221,4467,12808,0,488.19847557577094,-2.198475575770942,30.252985946220463,-0.25298594622046267,186.12673842814613,-43.126738428146126,13488.198475575771,-12511.801524424229,410.25298594622046,-349.74701405377954,9486.126738428145,-9113.873261571855
79,2020-05-20,Indonesia,693.0,21.0,108.0,564,19189,1242,4575,13372,1,487.7587804606168,205.24121953938322,30.202388756976372,-9.202388756976372,177.5013907425169,-69.50139074251689,13487.758780460617,-12512.241219539383,410.20238875697635,-349.79761124302365,9477.501390742516,-9122.498609257484
80,2020-05-21,Indonesia,973.0,36.0,263.0,674,20162,1278,4838,14046,1,528.8070243684934,444.19297563150656,28.3619110055811,7.638088994418901,163.6011125940135,99.3988874059865,13528.807024368494,-12471.192975631506,408.3619110055811,-351.6380889944189,9463.601112594013,-9136.398887405987
81,2020-05-22,Indonesia,634.0,48.0,219.0,367,20796,1326,5057,14413,0,617.6456194947948,16.3543805052052,29.88952880446488,18.11047119553512,183.4808900752108,35.519109924789205,13617.645619494795,-12382.354380505205,409.8895288044649,-350.1104711955351,9483.48089007521,-9116.51910992479
82,2020-05-23,Indonesia,949.0,25.0,192.0,732,21745,1351,5249,15145,1,620.9164955958358,328.08350440416416,33.51162304357191,-8.511623043571909,190.58471206016864,1.4152879398313587,13620.916495595837,-12379.083504404163,413.5116230435719,-346.4883769564281,9490.584712060168,-9109.415287939832
83,2020-05-24,Indonesia,526.0,21.0,153.0,352,22271,1372,5402,15497,0,686.5331964766688,-160.53319647666876,31.809298434857528,-10.809298434857528,190.86776964813492,-37.867769648134924,13686.533196476668,-12313.466803523332,411.8092984348575,-348.1907015651425,9490.867769648135,-9109.132230351865
84,2020-05-25,Indonesia,479.0,19.0,240.0,220,22750,1391,5642,15717,0,654.426557181335,-175.42655718133506,29.647438747886024,-10.647438747886024,183.29421571850793,56.70578428149207,13654.426557181336,-12345.573442818664,409.64743874788604,-350.35256125211396,9483.294215718508,-9116.705784281492
85,2020-05-26,Indonesia,415.0,27.0,235.0,153,23165,1418,5877,15870,0,619.3412457450681,-204.34124574506814,27.517950998308823,-0.5179509983088231,194.63537257480635,40.364627425193646,13619.341245745069,-12380.658754254931,407.51795099830883,-352.48204900169117,9494.635372574807,-9105.364627425193
86,2020-05-27,Indonesia,686.0,55.0,180.0,451,23851,1473,6057,16321,1,578.4729965960546,107.5270034039454,27.41436079864706,27.58563920135294,202.7082980598451,-22.708298059845106,13578.472996596054,-12421.527003403946,407.41436079864707,-352.58563920135293,9502.708298059844,-9097.291701940156
87,2020-05-28,Indonesia,687.0,23.0,183.0,481,24538,1496,6240,16802,1,599.9783972768437,87.02160272315632,32.93148863891765,-9.93148863891765,198.1666384478761,-15.166638447876096,13599.978397276844,-12400.021602723156,412.93148863891764,-347.06851136108236,9498.166638447876,-9101.833361552124
88,2020-05-29,Indonesia,678.0,24.0,252.0,402,25216,1520,6492,17204,0,617.382717821475,60.61728217852499,30.945190911134123,-6.945190911134123,195.1333107583009,56.866689241699106,13617.382717821474,-12382.617282178526,410.94519091113415,-349.05480908886585,9495.133310758301,-9104.866689241699
89,2020-05-30,Indonesia,557.0,53.0,523.0,-19,25773,1573,7015,17185,0,629.5061742571801,-72.50617425718008,29.5561527289073,23.4438472710927,206.50664860664074,316.49335139335926,13629.50617425718,-12370.49382574282,409.5561527289073,-350.4438472710927,9506.50664860664,-9093.49335139336
90,2020-05-31,Indonesia,700.0,40.0,293.0,367,26473,1613,7308,17552,1,615.004939405744,84.99506059425596,34.244922183125844,5.755077816874156,269.8053188853126,23.1946811146874,13615.004939405744,-12384.995060594256,414.2449221831258,-345.7550778168742,9569.805318885312,-9030.194681114688
91,2020-06-01,Indonesia,467.0,28.0,329.0,110,26940,1641,7637,17662,0,632.0039515245953,-165.00395152459532,35.39593774650068,-7.395937746500678,274.4442551082501,54.555744891749896,13632.003951524595,-12367.996048475405,415.3959377465007,-344.6040622534993,9574.44425510825,-9025.55574489175
92,2020-06-02,Indonesia,609.0,22.0,298.0,289,27549,1663,7935,17951,1,599.0031612196763,9.996838780323742,33.91675019720054,-11.916750197200543,285.3554040866001,12.644595913399883,13599.003161219676,-12400.996838780324,413.91675019720054,-346.08324980279946,9585.3554040866,-9014.6445959134
