,Date,Location,New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases,Increasing,New Cases EMA,New Cases Difference,New Deaths EMA,New Deaths Difference,New Recovered EMA,New Recovered Difference
193,2020-09-11,Indonesia,3737,88,2707,942,210940,8544,150217,52179,0,3260.041778575718,476.9582214242819,103.9329825381478,-15.932982538147797,2194.3990088256405,512.6009911743595
194,2020-09-12,Indonesia,3806,106,2241,1459,214746,8650,152458,53638,1,3355.433422860575,450.56657713942514,100.74638603051824,5.253613969481762,2296.9192070605127,-55.91920706051269
195,2020-09-13,Indonesia,3636,73,2552,1011,218382,8723,155010,54649,0,3445.54673828846,190.4532617115401,101.7971088244146,-28.797108824414593,2285.73536564841,266.26463435158985
196,2020-09-14,Indonesia,3141,118,3395,-372,221523,8841,158405,54277,0,3483.637390630768,-342.6373906307681,96.03768705953169,21.96231294046831,2338.988292518728,1056.011707481272
197,2020-09-15,Indonesia,3507,124,2660,723,225030,8965,161065,55000,1,3415.109912504615,91.89008749538516,100.43014964762537,23.56985035237463,2550.1906340149826,109.8093659850174
198,2020-09-16,Indonesia,3963,135,3036,792,228993,9100,164101,55792,1,3433.4879300036923,529.5120699963077,105.1441197181003,29.8558802818997,2572.152507211986,463.8474927880138
199,2020-09-17,Indonesia,3635,122,2585,928,232628,9222,166686,56720,0,3539.390344002954,95.60965599704605,111.11529577448024,10.884704225519755,2664.9220057695893,-79.9220057695893
200,2020-09-18,Indonesia,3891,114,4088,-311,236519,9336,170774,56409,1,3558.5122752023635,332.4877247976365,113.2922366195842,0.7077633804157983,2648.9376046156717,1439.0623953843283
201,2020-09-19,Indonesia,4168,112,3576,480,240687,9448,174350,56889,1,3625.009820161891,542.9901798381088,113.43378929566737,-1.433789295667367,2936.7500836925374,639.2499163074626
202,2020-09-20,Indonesia,3989,105,2977,907,244676,9553,177327,57796,0,3733.607856129513,255.39214387048696,113.14703143653391,-8.147031436533908,3064.60006695403,-87.6000669540299
203,2020-09-21,Indonesia,4176,124,3470,582,248852,9677,180797,58378,1,3784.6862849036106,391.3137150963894,111.51762514922713,12.482374850772871,3047.0800535632243,422.9199464367757
204,2020-09-22,Indonesia,4071,160,3501,410,252923,9837,184298,58788,0,3862.9490279228885,208.0509720771115,114.01410011938171,45.98589988061829,3131.6640428505793,369.33595714942066
205,2020-09-23,Indonesia,4465,140,3660,665,257388,9977,187958,59453,1,3904.559222338311,560.440777661689,123.21128009550537,16.788719904494627,3205.5312342804637,454.46876571953635
206,2020-09-24,Indonesia,4634,128,3895,611,262022,10105,191853,60064,1,4016.647377870649,617.352622129351,126.5690240764043,1.430975923595696,3296.424987424371,598.575012575629
207,2020-09-25,Indonesia,4823,113,4343,367,266845,10218,196196,60431,1,4140.11790229652,682.8820977034802,126.85521926112344,-13.855219261123437,3416.139989939497,926.8600100605031
208,2020-09-26,Indonesia,4494,90,3207,1197,271339,10308,199403,61628,0,4276.694321837216,217.3056781627838,124.08417540889874,-34.084175408898744,3601.511991951598,-394.5119919515978
209,2020-09-27,Indonesia,3874,78,3611,185,275213,10386,203014,61813,0,4320.155457469773,-446.15545746977295,117.267340327119,-39.267340327119,3522.6095935612784,88.39040643872158
210,2020-09-28,Indonesia,3509,87,3856,-434,278722,10473,206870,61379,0,4230.924365975819,-721.9243659758185,109.41387226169522,-22.413872261695218,3540.2876748490226,315.71232515097745
211,2020-09-29,Indonesia,4002,128,3567,307,282724,10601,210437,61686,1,4086.539492780655,-84.53949278065511,104.93109780935619,23.06890219064381,3603.4301398792186,-36.430139879218586
212,2020-09-30,Indonesia,4284,139,4510,-365,287008,10740,214947,61321,1,4069.631594224524,214.36840577547582,109.54487824748495,29.455121752515055,3596.1441119033752,913.8558880966248
213,2020-10-01,Indonesia,4174,116,3540,518,291182,10856,218487,61839,0,4112.50527537962,61.49472462038011,115.43590259798796,0.5640974020120382,3778.9152895227003,-238.91528952270028
214,2020-10-02,Indonesia,4317,116,2853,1348,295499,10972,221340,63187,1,4124.804220303696,192.19577969630427,115.54872207839038,0.45127792160961633,3731.1322316181604,-878.1322316181604
215,2020-10-03,Indonesia,4007,83,3712,212,299506,11055,225052,63399,0,4163.243376242957,-156.2433762429573,115.63897766271232,-32.63897766271232,3555.5057852945283,156.49421470547168
216,2020-10-04,Indonesia,3992,96,3401,495,303498,11151,228453,63894,0,4131.994700994366,-139.9947009943662,109.11118213016985,-13.111182130169851,3586.804628235623,-185.8046282356231
217,2020-10-05,Indonesia,3622,102,4140,-620,307120,11253,232593,63274,0,4103.995760795493,-481.99576079549297,106.48894570413589,-4.488945704135887,3549.643702588499,590.3562974115011
218,2020-10-06,Indonesia,4056,121,3844,91,311176,11374,236437,63365,1,4007.5966086363946,48.40339136360535,105.59115656330872,15.408843436691285,3667.714962070799,176.28503792920083
219,2020-10-07,Indonesia,4538,98,3854,586,315714,11472,240291,63951,1,4017.277286909116,520.7227130908841,108.67292525064698,-10.672925250646983,3702.97196965664,151.02803034336011
220,2020-10-08,Indonesia,4850,108,3769,973,320564,11580,244060,64924,1,4121.421829527293,728.5781704727069,106.53834020051758,1.461659799482419,3733.177575725312,35.82242427468782
221,2020-10-09,Indonesia,4094,97,3607,390,324658,11677,247667,65314,0,4267.137463621835,-173.1374636218352,106.83067216041408,-9.830672160414082,3740.3420605802503,-133.3420605802503
222,2020-10-10,Indonesia,4294,88,3814,392,328952,11765,251481,65706,1,4232.5099708974685,61.49002910253148,104.86453772833127,-16.86453772833127,3713.6736484642006,100.3263515357994
223,2020-10-11,Indonesia,4497,79,3546,872,333449,11844,255027,66578,1,4244.807976717975,252.19202328202482,101.49163018266503,-22.491630182665034,3733.7389187713607,-187.73891877136066
224,2020-10-12,Indonesia,3267,91,3492,-316,336716,11935,258519,66262,0,4295.24638137438,-1028.2463813743798,96.99330414613203,-5.993304146132033,3696.1911350170885,-204.19113501708853
225,2020-10-13,Indonesia,3906,92,4777,-963,340622,12027,263296,65299,1,4089.597105099504,-183.597105099504,95.79464331690563,-3.794643316905635,3655.352908013671,1121.647091986329
226,2020-10-14,Indonesia,4127,129,4555,-557,344749,12156,267851,64742,1,4052.8776840796036,74.12231592039643,95.03571465352452,33.96428534647548,3879.682326410937,675.3176735890629
227,2020-10-15,Indonesia,4411,112,5810,-1511,349160,12268,273661,63231,1,4067.702147263683,343.29785273631705,101.82857172281962,10.171428277180382,4014.7458611287498,1795.2541388712502
228,2020-10-16,Indonesia,4301,79,3883,339,353461,12347,277544,63570,0,4136.361717810946,164.63828218905383,103.86285737825571,-24.86285737825571,4373.796688902999,-490.79668890299945
229,2020-10-17,Indonesia,4301,84,4048,169,357762,12431,281592,63739,1,4169.289374248757,131.71062575124324,98.89028590260457,-14.890285902604575,4275.6373511224,-227.6373511224001
230,2020-10-18,Indonesia,4105,80,3732,293,361867,12511,285324,64032,0,4195.631499399005,-90.6314993990054,95.91222872208367,-15.912228722083668,4230.10988089792,-498.10988089792045
231,2020-10-19,Indonesia,3373,106,3919,-652,365240,12617,289243,63380,0,4177.505199519204,-804.5051995192043,92.72978297766694,13.270217022333057,4130.487904718337,-211.48790471833672
232,2020-10-20,Indonesia,3602,117,4410,-925,368842,12734,293653,62455,1,4016.6041596153636,-414.60415961536364,95.38382638213356,21.616173617866437,4088.1903237746697,321.80967622533035
