,Date,Location,New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases,Area (km2),Population,Population Density,Increasing
167,2020-03-23,Jawa Timur,2.0,1.0,0.0,1,55,35,215,-195,47803,40479023,846.78,0
168,2020-03-23,Banten,0.0,2.0,3.0,-5,6,17,121,-132,9663,10722374,1109.64,0
169,2020-03-23,Sulawesi Tenggara,0.0,0.0,0.0,0,3,0,0,3,38068,2635461,69.23,0
170,2020-03-23,Bali,0.0,0.0,0.0,0,2,2,3,-3,5780,4216171,729.43,0
171,2020-03-23,DKI Jakarta,0.0,0.0,0.0,0,83,41,60,-18,664,10846145,16334.31,0
172,2020-03-23,Jawa Tengah,3.0,0.0,0.0,3,22,11,14,-3,32801,36364072,1108.64,1
173,2020-03-23,Sulawesi Selatan,0.0,1.0,0.0,-1,2,1,1,0,46717,9426885,201.78,0
174,2020-03-23,Kepulauan Riau,0.0,0.0,0.0,0,1,1,0,0,8202,1929400,235.24,0
175,2020-03-23,Jawa Barat,6.0,4.0,0.0,2,59,15,17,27,35378,45161325,1276.55,1
176,2020-03-23,Riau,0.0,0.0,0.0,0,2,0,3,-1,87024,6074100,69.8,0
177,2020-03-23,Kalimantan Timur,1.0,0.0,0.0,1,8,0,2,6,129067,3552191,27.52,0
178,2020-03-24,Maluku,0.0,0.0,0.0,0,1,0,0,1,46914,1847097,39.37,0
179,2020-03-24,Sulawesi Tenggara,0.0,0.0,0.0,0,3,0,0,3,38068,2635461,69.23,0
180,2020-03-24,Sulawesi Selatan,2.0,0.0,0.0,2,4,1,1,2,46717,9426885,201.78,0
181,2020-03-24,Riau,0.0,0.0,0.0,0,2,0,3,-1,87024,6074100,69.8,0
182,2020-03-24,Jawa Barat,2.0,2.0,2.0,-2,61,17,19,25,35378,45161325,1276.55,0
183,2020-03-24,Sumatera Utara,0.0,0.0,0.0,0,1,1,0,0,72981,14874889,203.82,0
184,2020-03-24,Kalimantan Timur,0.0,0.0,0.0,0,8,0,2,6,129067,3552191,27.52,0
185,2020-03-24,DKI Jakarta,16.0,19.0,3.0,-6,99,60,63,-24,664,10846145,16334.31,0
186,2020-03-24,Jambi,0.0,0.0,0.0,0,1,0,0,1,50058,3493357,69.79,0
187,2020-03-24,Daerah Istimewa Yogyakarta,0.0,0.0,0.0,0,2,1,2,-1,3133,3631015,1158.9,0
188,2020-03-24,Sumatera Selatan,0.0,0.0,0.0,0,1,2,1,-2,91592,8217551,89.72,0
189,2020-03-24,Banten,0.0,1.0,3.0,-4,6,18,124,-136,9663,10722374,1109.64,0
190,2020-03-24,Kepulauan Riau,0.0,0.0,0.0,0,1,1,0,0,8202,1929400,235.24,0
191,2020-03-24,Maluku Utara,0.0,0.0,0.0,0,1,0,2,-1,31983,1307803,40.89,0
192,2020-03-24,Jawa Timur,3.0,1.0,0.0,2,58,36,215,-193,47803,40479023,846.78,1
193,2020-03-24,Bali,0.0,0.0,0.0,0,2,2,3,-3,5780,4216171,729.43,0
194,2020-03-24,Papua,0.0,0.0,0.0,0,2,1,1,0,319036,4340348,13.6,0
195,2020-03-24,Jawa Tengah,3.0,1.0,1.0,1,25,12,15,-2,32801,36364072,1108.64,1
196,2020-03-25,Maluku Utara,0.0,0.0,0.0,0,1,0,2,-1,31983,1307803,40.89,0
197,2020-03-25,Sulawesi Tenggara,0.0,0.0,0.0,0,3,0,0,3,38068,2635461,69.23,0
198,2020-03-25,Banten,0.0,1.0,3.0,-4,6,19,127,-140,9663,10722374,1109.64,0
199,2020-03-25,Jawa Timur,9.0,0.0,1.0,8,67,36,216,-185,47803,40479023,846.78,1
200,2020-03-25,Sulawesi Selatan,9.0,0.0,0.0,9,13,1,1,11,46717,9426885,201.78,1
201,2020-03-25,Riau,0.0,0.0,0.0,0,2,0,3,-1,87024,6074100,69.8,0
202,2020-03-25,Jawa Barat,5.0,0.0,1.0,4,66,17,20,29,35378,45161325,1276.55,1
203,2020-03-25,Sumatera Utara,0.0,0.0,0.0,0,1,1,0,0,72981,14874889,203.82,0
204,2020-03-25,Jambi,0.0,0.0,0.0,0,1,0,0,1,50058,3493357,69.79,0
205,2020-03-25,Kepulauan Riau,0.0,0.0,0.0,0,1,1,0,0,8202,1929400,235.24,0
206,2020-03-25,Sumatera Selatan,0.0,0.0,0.0,0,1,2,1,-2,91592,8217551,89.72,0
207,2020-03-25,Maluku,0.0,0.0,0.0,0,1,0,0,1,46914,1847097,39.37,0
208,2020-03-25,Bali,0.0,0.0,0.0,0,2,2,3,-3,5780,4216171,729.43,0
209,2020-03-25,Daerah Istimewa Yogyakarta,1.0,1.0,0.0,0,3,2,2,-1,3133,3631015,1158.9,0
210,2020-03-25,Kalimantan Timur,0.0,0.0,0.0,0,8,0,2,6,129067,3552191,27.52,0
211,2020-03-25,Jawa Tengah,23.0,1.0,1.0,21,48,13,16,19,32801,36364072,1108.64,1
212,2020-03-25,Papua,0.0,0.0,0.0,0,2,1,1,0,319036,4340348,13.6,0
213,2020-03-25,DKI Jakarta,1.0,1.0,0.0,0,100,61,63,-24,664,10846145,16334.31,0
214,2020-03-26,Sumatera Selatan,0.0,0.0,0.0,0,1,2,1,-2,91592,8217551,89.72,0
215,2020-03-26,Maluku,0.0,0.0,0.0,0,1,0,0,1,46914,1847097,39.37,0
216,2020-03-26,Bali,0.0,0.0,0.0,0,2,2,3,-3,5780,4216171,729.43,0
217,2020-03-26,Jawa Timur,13.0,1.0,0.0,12,80,37,216,-173,47803,40479023,846.78,1
218,2020-03-26,Maluku Utara,0.0,0.0,0.0,0,1,0,2,-1,31983,1307803,40.89,0
219,2020-03-26,Daerah Istimewa Yogyakarta,0.0,0.0,0.0,0,3,2,2,-1,3133,3631015,1158.9,0
220,2020-03-26,Sulawesi Tenggara,0.0,0.0,0.0,0,3,0,0,3,38068,2635461,69.23,0
221,2020-03-26,Jambi,0.0,0.0,0.0,0,1,0,0,1,50058,3493357,69.79,0
222,2020-03-26,Aceh,1.0,0.0,0.0,1,1,0,0,1,57956,5247257,90.54,0
223,2020-03-26,Jawa Tengah,4.0,0.0,1.0,3,52,13,17,22,32801,36364072,1108.64,0
